,Drug Vector,Encoded weightage
0,0 0 0 0 0 0,2.0
1,0 0 0 0 0 1,1.9589163441500446
2,0 0 0 0 1 0,1.6737124144090503
3,0 0 0 0 1 1,1.6254837749330158
4,0 0 0 1 0 0,0.95147365287287888
5,0 0 0 1 0 1,0.90324501339684427
6,0 0 0 1 1 0,0.58112533492110752
7,0 0 0 1 1 1,0.45787436737124143
8,0 0 1 0 0 0,1.8332837153914856
9,0 0 1 0 0 1,1.7886275677284906
10,0 0 1 0 1 0,1.5421256326287585
11,0 0 1 0 1 1,1.4903245013396844
12,0 0 1 1 0 0,0.89312295325989877
13,0 0 1 1 0 1,0.84132182197082461
14,0 0 1 1 1 0,0.56266746055373618
15,0 0 1 1 1 1,0.44715689193212266
16,0 1 0 0 0 0,1.6552545400416792
17,0 1 0 0 0 1,1.6070259005656444
18,0 1 0 0 1 0,1.4022030366180411
19,0 1 0 0 1 1,1.3468294135159273
20,0 1 0 1 0 0,0.83060434653170589
21,0 1 0 1 0 1,0.77523072342959209
22,0 1 0 1 1 0,0.54420958618636495
23,0 1 0 1 1 1,0.43643941649300388
24,0 1 1 0 0 0,1.4659124739505804
25,0 1 1 0 0 1,1.4141113426615064
26,0 1 1 0 1 0,1.2539446263768979
27,0 1 1 0 1 1,1.1949985114617445
28,0 1 1 1 0 0,0.76391783268830005
29,0 1 1 1 0 1,0.70497171777314682
30,0 1 1 1 1 0,0.52575171181899372
31,0 1 1 1 1 1,0.42572194105388511
32,1 0 0 0 0 0,1.4659124739505804
33,1 0 0 0 0 1,1.4141113426615064
34,1 0 0 0 1 0,1.2539446263768979
35,1 0 0 0 1 1,1.1949985114617445
36,1 0 0 1 0 0,0.76391783268830005
37,1 0 0 1 0 1,0.70497171777314682
38,1 0 0 1 1 0,0.52575171181899372
39,1 0 0 1 1 1,0.42572194105388511
40,1 0 1 0 0 0,1.2652575171181899
41,1 0 1 0 0 1,1.2098838940160763
42,1 0 1 0 1 0,1.0973504019053291
43,1 0 1 0 1 1,1.034831795177136
44,1 0 1 1 0 0,0.69306341172968144
45,1 0 1 1 0 1,0.63054480500148857
46,1 0 1 1 1 0,0.50729383745162249
47,1 0 1 1 1 1,0.41500446561476628
48,1 1 0 0 0 0,1.4659124739505804
49,1 1 0 0 0 1,1.4141113426615064
50,1 1 0 0 1 0,1.2539446263768979
51,1 1 0 0 1 1,1.1949985114617445
52,1 1 0 1 0 0,0.76391783268830005
53,1 1 0 1 0 1,0.70497171777314682
54,1 1 0 1 1 0,0.52575171181899372
55,1 1 0 1 1 1,0.42572194105388511
56,1 1 1 0 0 0,1.2652575171181899
57,1 1 1 0 0 1,1.2098838940160763
58,1 1 1 0 1 0,1.0973504019053291
59,1 1 1 0 1 1,1.034831795177136
60,1 1 1 1 0 0,0.69306341172968144
61,1 1 1 1 0 1,0.63054480500148857
62,1 1 1 1 1 0,0.50729383745162249
63,1 1 1 1 1 1,0.41500446561476628
